ActivityName;Description;Cost;Time;Proximity;Group;Energy;In / Out;Picture
Park Time! - Lighthouse Park;Lighthouse Park is a symbol of West Vancouver, one of Vancouver's most beautiful areas!;$;3-5H;Yes;Any;Medium;Outdoor;https://www.vancouversnorthshore.com/wp3/wp-content/uploads/2021/07/poli_gone-Instagram-2255-ig-1763709481570687442_2051016468.jpg
Thrift a New Outfit;There's nothing better than getting a new outfit for cheap. Go to a thrift store and see if you can put together an outfit worthy of the runway.;$;3-5H;Yes;Any;Medium;Indoor;https://images.unsplash.com/photo-1520006403909-838d6b92c22e?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80
Go-kart;Vroom. Diesel, blood, sweat, and tears. There's nothing more thrilling than a high stakes race in go karts. Get your driving gloves on and go get em.;$$;1-2H;Yes;Any;Medium;Any;https://images.unsplash.com/photo-1505570554449-69ce7d4fa36b?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80
Watch Some Anime;Indulge in some Japanese culture and binge watch an anime!;$;Any;No;Any;Low;Indoor;https://i0.wp.com/techlekh.com/wp-content/uploads/2021/05/watching-animie.jpg?fit=1920%2C1080&ssl=1
Go to the Club;Get your party clothes on, drink some 'juice' and head out. Get ready for a fun night out!;$$;Any;Yes;Friends;High;Indoor;https://images.unsplash.com/photo-1578736641330-3155e606cd40?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80
Watch a TV Show;Have a new TV show you want to check out? Now is your chance to get started. If you want, you can also binge watch by yourself!;$;Any;No;Any;Low;Indoor;https://images.unsplash.com/photo-1522869635100-9f4c5e86aa37?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80
Go to the Movie Theatre;When was the last time you went to a movie theatre and bought a bag of popcorn? We can't remember either. Welp, looks like its time to go out for a movie. What are you waiting for?;$$;3-5H;Yes;Any;Low;Indoor;https://images.unsplash.com/photo-1608170825938-a8ea0305d46c?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1625&q=80
Go to the Zoo;There's nothing cooler than animals. Head to the zoo and take a look at all the animals.;$$;3-5H;Yes;Any;High;Any;https://images.unsplash.com/photo-1503919005314-30d93d07d823?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80
Pew Pew Laser Tag;Ready to feel like a kid again? Go play some laser tag! Beat your friends by shooting lasers at them.;$$;1-2H;Yes;Friends;High;Indoor;https://uploads-ssl.webflow.com/5ca1479b0620587913fd10e6/5ca97208d636b73c735cda41_NewShoot_Large-30%20Small%20Cropped.jpg
Host a BBQ;Yum. It's barbeque time. Get some steaks, hotdogs, and burgers. Cook up something that will make Gordan Ramsey jealous.;$$;3-5H;No;Any;High;Outdoor;https://images.unsplash.com/photo-1504564321107-4aa3efddb5bd?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=776&q=80
Look at Old Pictures;Take a walk down memory lane and spend some time with your family. Take a look at all the pictures you've taken through out the years.;$;1-2H;No;Family;Low;Indoor;https://images.unsplash.com/photo-1528569937393-ee892b976859?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80
Go Camping;Spend some time in nature, and sleep under the stars. Remember to check the weather first, and make sure its nice and sunny. Unless camping in the rain is what you enjoy.;$$;6-10H;Yes;Any;Medium;Outdoor;https://images.unsplash.com/photo-1571687949921-1306bfb24b72?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=774&q=80
Go to the Beach;Splish splash. Go to the beach. Go fly a kite, swim in the ocean, or build a sand castle. The possiblities are endless.;$;Any;Yes;Any;Medium;Outdoor;https://images.unsplash.com/photo-1544536871-6e891baa163f?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2787&q=80
Go to a Waterpark;Splish splash. Hurtle down some waterslides at breakneck speeds. Have fun sliding!;$$;Any;Yes;Any;High;Any;https://images.unsplash.com/photo-1642717841683-c0323214617c?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80
Park Time! - Waterfront Park;Waterfront Park boasts beautiful wide-angle views of Vancouver and the Burrard Inlet and you'll find it just a 12-minute Seabus ride away from Downtown Vancouver.;$;3-5H;Yes;Any;Medium;Outdoor;https://waterfrontparks.ca/wp-content/uploads/2020/12/Belvedere-2-1280x720-1.jpg
Have a Family Night Out;Dress up and go out. It doesn't matter if you're planning to go to McDonald's or a Michelin star restaurant. The important thing is you spend time with family and have some good food.;Any;1-2H;Yes;Family;Medium;Indoor;https://images.unsplash.com/photo-1581954548122-4dff8989c0f7?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1065&q=80
Spring Cleanup - Garage Sale;Clean up, clean up, everybody do your share. There's nothing better than cleaning your house AND making money while doing it.;$;6-10H;No;Family;High;Any;https://images.unsplash.com/photo-1542793836-8227da569070?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1035&q=80
Mini Golf;Not sure if you can complete a full course? Don't worry, mini golf is there to save the day. Go through a fun course filled with windmills, tunnels and other extravaganzas! This activity is perfect for friends or family.;$$;3-5H;Yes;Any;Medium;Outdoor;https://images.unsplash.com/photo-1575721087345-4cd6f2a157ca?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=774&q=80
Driving Range;Get rid of your stress and go smack some golf balls. There's a reason the driving range is so popular. This activity is perfect for anyone, even beginners. Balls can be purchased by the bucket at the range, and they often rent out clubs too.;$$;Any;Yes;Any;High;Outdoor;https://images.unsplash.com/photo-1571158096385-a56767c1f57c?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80
Do Some Home Repairs;Do you have a leaky roof that needs repair, or a room with cracking paint? Watch some youtube vidoes, plan a repair and attempt it with your family. Just a warning though, maybe you should leave the big repairs to the professionals...;Any;Any;No;Family;High;Indoor;https://images.unsplash.com/photo-1581783898377-1c85bf937427?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1015&q=80
Strike! Bowling Time;Whether you're a beginner or you can bowl a perfect 300, bowling is a fun time for anyone! Grab some friends or family and go roll some balls. Tip: some bowling alleys even have late night specials.;$$;1-2H;Yes;Any;Medium;Indoor;https://images.unsplash.com/photo-1538511059256-46e76f13f071?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80
Go to a Mueseum;Explore art, history, or even barrels. Pick a topic that interests you and find a museum for it!;$$;Any;Yes;Any;Low;Indoor;https://images.unsplash.com/photo-1580135952947-6af0163e72cc?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1055&q=80
Call Out of Town Families;Do you have any family members that you feel like you haven't talked to in a while? Take some time during the evening or on the weekend a video call them! We're sure they will appreciate it.;$;Any;No;Family;Low;Indoor;https://images.unsplash.com/photo-1578022761797-b8636ac1773c?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=774&q=80
Fly a Kite;Feel like a kid again. If its sunny and windy, fly a kite as high as you can. Just don't be like Benjamin Franklin and fly kite during a thunderstorm.;$;Any;Yes;Any;Medium;Outdoor;https://images.unsplash.com/photo-1596554817336-19fbecb23705?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=776&q=80
Go Fishing;Maybe today is the day you land that record breaking largemouth. No time better than today to go fishing. Always remember, a bad day of fishing is better than a good day of work;$$;Any;Yes;Any;Low;Outdoor;https://images.unsplash.com/photo-1552340745-89c5073640ad?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=774&q=80
Car Wash;Look at that dirty car in the driveway. Caked in dust with smiley faces drawn all over it. If the weather is nice, today may be the day your car gets the spa treatment it deserves.;$;1-2H;No;Family;High;Outdoor;https://images.unsplash.com/photo-1594611373436-2bfd61d30c1f?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80
Watch the Sunrise;Nature is beautiful. Wake up early and watch the sunrise.;$;1-2H;No;Any;Low;Outdoor;https://images.unsplash.com/photo-1475113548554-5a36f1f523d6?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=774&q=80
Water Balloon Fight;It's officially a war. Go to the dollarstore, buy some water balloons and fill them up. You can do a water fight however you want. Just make sure everyone gets wet.;$;1-2H;No;Any;High;Outdoor;https://images.unsplash.com/photo-1530982534634-7f61b1f68825?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=772&q=80
Park Time! - Capilano Regional Park;Go for a hike! The Capilano Salmon Hatchery and Cleveland Dam are a popular free attractions in North Vancouver. It's a short walk from the Cleveland Dam to the Hatchery or you can drive along Capilano Road to get between them.;$;3-5H;Yes;Any;Medium;Outdoor;https://www.insidevancouver.ca/wp-content/uploads/2021/05/21035_201804_KazutoshiYoshimura_North-ShoreMountainsLions1-664x498.jpg
